Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;Day;Month;Year
329-62-1586;A;Yangon;Normal;Male;Food and beverages;54.67;3;82.005;1.722.105;21/01/2019;18.00;Credit card;164.01.00;4.761.904.762;82.005;08.06;21;1;2019
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;40.03.00;2;04.03;84.63;11/03/2019;15.30;Ewallet;80.06.00;4.761.904.762;04.03;04.04;11;3;2019
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;86.04.00;5;21.51;451.71;25/02/2019;11.24;Ewallet;430.02.00;4.761.904.762;21.51;04.08;25;2;2019
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;87.98;3;13.197;277.137;05/03/2019;10.40;Ewallet;263.94;4.761.904.762;13.197;05.01;5;3;2019
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;33.02.00;2;03.32;69.72;15/03/2019;12.20;Credit card;66.04.00;4.761.904.762;03.32;04.04;15;3;2019
636-48-8204;A;Yangon;Normal;Male;Electronic accessories;34.56.00;5;0,377777778;181.44.00;17/02/2019;11.15;Ewallet;172.08.00;4.761.904.762;0,377777778;09.09;17;2;2019
549-59-1358;A;Yangon;Member;Male;Sports and travel;88.63;3;132.945;2.791.845;02/03/2019;17.36;Ewallet;265.89;4.761.904.762;132.945;06.00;2;3;2019
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;52.59.00;8;21.036;441.756;22/03/2019;19.20;Credit card;420.72;4.761.904.762;21.036;08.05;22;3;2019
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;33.52.00;1;1.676;35.196;08/02/2019;15.31;Cash;33.52.00;4.761.904.762;1.676;06.07;8;2;2019
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87.67;2;8.767;184.107;10/03/2019;12.17;Credit card;175.34.00;4.761.904.762;8.767;07.07;10;3;2019
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;88.36.00;5;22.09;463.89;25/01/2019;19.48;Cash;441.08.00;4.761.904.762;22.09;09.06;25;1;2019
848-62-7243;A;Yangon;Normal;Male;Health and beauty;24.89;9;112.005;2.352.105;15/03/2019;15.36;Cash;224.01.00;4.761.904.762;112.005;07.04;15;3;2019
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;94.13.00;5;235.325;4.941.825;25/02/2019;19.39;Credit card;470.65;4.761.904.762;235.325;04.08;25;2;2019
149-71-6266;B;Mandalay;Member;Male;Sports and travel;78.07.00;9;351.315;7.377.615;28/01/2019;12.43;Cash;702.63;4.761.904.762;351.315;04.05;28;1;2019
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;83.78;8;33.512;703.752;10/01/2019;14.49;Cash;670.24.00;4.761.904.762;33.512;05.01;10;1;2019
595-11-5460;A;Yangon;Normal;Male;Health and beauty;96.58.00;2;9.658;202.818;15/03/2019;10.12;Credit card;193.16.00;4.761.904.762;9.658;05.01;15;3;2019
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;99.42.00;4;19.884;417.564;06/02/2019;10.42;Ewallet;397.68;4.761.904.762;19.884;07.05;6;2;2019
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;68.12.00;1;3.406;71.526;07/01/2019;12.28;Ewallet;68.12.00;4.761.904.762;3.406;06.08;7;1;2019
129-29-8530;A;Yangon;Member;Male;Sports and travel;62.62;5;15.655;328.755;10/03/2019;19.15;Ewallet;313.01.00;4.761.904.762;15.655;07.00;10;3;2019
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;60.88;9;27.396;575.316;15/01/2019;17.17;Ewallet;547.92;4.761.904.762;27.396;04.07;15;1;2019
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;54.92;8;21.968;461.328;23/03/2019;13.24;Ewallet;439.36.00;4.761.904.762;21.968;07.06;23;3;2019
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;30.12.00;8;12.048;253.008;03/03/2019;13.01;Cash;240.96;4.761.904.762;12.048;07.07;3;3;2019
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;86.72;1;4.336;91.056;17/01/2019;18.45;Ewallet;86.72;4.761.904.762;4.336;07.09;17;1;2019
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;56.11.00;2;5.611;117.831;02/02/2019;10.11;Cash;112.22.00;4.761.904.762;5.611;06.03;2;2;2019
354-25-5821;B;Mandalay;Member;Female;Sports and travel;69.12.00;6;20.736;435.456;08/02/2019;13.03;Cash;414.72;4.761.904.762;20.736;05.06;8;2;2019
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;98.07.00;8;39.48.00;829.08.00;04/03/2019;20.39;Cash;789.06.00;4.761.904.762;39.48.00;07.06;4;3;2019
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;15.37;2;1.537;32.277;16/03/2019;19.47;Cash;30.74;4.761.904.762;1.537;07.02;16;3;2019
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93.96;4;18.792;394.632;09/03/2019;18.00;Cash;375.84;4.761.904.762;18.792;09.05;9;3;2019
370-41-7321;B;Mandalay;Member;Male;Health and beauty;56.69;9;255.105;5.357.205;27/02/2019;17.24;Credit card;510.21.00;4.761.904.762;255.105;08.04;27;2;2019
727-46-3608;B;Mandalay;Member;Female;Food and beverages;20.01;9;90.045;1.890.945;06/02/2019;15.47;Ewallet;180.09.00;4.761.904.762;90.045;04.01;6;2;2019
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;0,814583333;6;5.679;119.259;10/02/2019;12.45;Credit card;113.58.00;4.761.904.762;5.679;08.01;10;2;2019
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41.315;867.615;19/03/2019;17.08;Ewallet;826.03.00;4.761.904.762;41.315;07.09;19;3;2019
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;91.04.00;7;31.99;671.79;03/02/2019;10.19;Cash;639.08.00;4.761.904.762;31.99;09.05;3;2;2019
162-48-8011;A;Yangon;Member;Female;Food and beverages;44.59.00;5;111.475;2.340.975;10/02/2019;15.10;Cash;222.95;4.761.904.762;111.475;08.05;10;2;2019
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;0,76875;4;3.574;75.054;22/03/2019;14.42;Ewallet;71.48.00;4.761.904.762;3.574;06.05;22;3;2019
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;15.43;1;5,357638889;162.015;25/01/2019;15.46;Credit card;15.43;4.761.904.762;5,357638889;06.01;25;1;2019
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1.616;33.936;07/03/2019;11.49;Ewallet;32.32.00;4.761.904.762;1.616;06.05;7;3;2019
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;85.98;8;34.392;722.232;28/02/2019;19.01;Cash;687.84;4.761.904.762;34.392;08.02;28;2;2019
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;44.34.00;2;4.434;93.114;27/03/2019;11.26;Cash;88.68;4.761.904.762;4.434;05.08;27;3;2019
635-40-6220;A;Yangon;Normal;Male;Health and beauty;89.06.00;8;35.84;752.64;07/02/2019;11.28;Ewallet;716.08.00;4.761.904.762;35.84;06.06;7;2;2019
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;72.35.00;10;36.175;759.675;20/01/2019;15.55;Cash;723.05.00;4.761.904.762;36.175;05.04;20;1;2019
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9.183;192.843;12/03/2019;20.36;Cash;183.66;4.761.904.762;9.183;09.03;12;3;2019
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;24.74;3;3.711;77.931;15/02/2019;17.47;Credit card;74.22.00;4.761.904.762;3.711;10.00;15;2;2019
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;55.73;6;16.719;351.099;24/02/2019;10.55;Ewallet;334.38.00;4.761.904.762;16.719;07.00;24;2;2019
347-34-2234;B;Mandalay;Member;Female;Sports and travel;55.07.00;9;247.815;5.204.115;03/02/2019;13.40;Ewallet;495.63;4.761.904.762;247.815;10.00;3;2;2019
199-75-8169;A;Yangon;Member;Male;Sports and travel;0,68125;10;7.905;166.005;06/03/2019;12.27;Credit card;158.01.00;4.761.904.762;7.905;08.06;6;3;2019
853-23-2453;B;Mandalay;Member;Male;Health and beauty;75.74;4;15.148;318.108;14/02/2019;14.35;Cash;302.96;4.761.904.762;15.148;07.06;14;2;2019
877-22-3308;A;Yangon;Member;Male;Health and beauty;0,685416667;10;7.935;166.635;13/03/2019;16.40;Cash;158.07.00;4.761.904.762;7.935;05.08;13;3;2019
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33.47.00;2;3.347;70.287;10/02/2019;15.43;Ewallet;66.94;4.761.904.762;3.347;06.07;10;2;2019
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97.61;6;29.283;614.943;07/01/2019;15.01;Ewallet;585.66;4.761.904.762;29.283;09.09;7;1;2019
232-11-3025;A;Yangon;Normal;Male;Sports and travel;78.77;10;39.385;827.085;24/01/2019;10.04;Cash;787.07.00;4.761.904.762;39.385;06.04;24;1;2019
382-03-4532;A;Yangon;Member;Female;Health and beauty;18.33;1;6,364583333;192.465;02/02/2019;18.50;Cash;18.33;4.761.904.762;6,364583333;04.03;2;2;2019
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;89.48.00;10;44.74;939.54.00;06/01/2019;12.46;Credit card;894.08.00;4.761.904.762;44.74;09.06;6;1;2019
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62.12.00;10;31.06.00;652.26.00;11/02/2019;16.19;Cash;621.02.00;4.761.904.762;31.06.00;05.09;11;2;2019
510-95-6347;B;Mandalay;Member;Female;Food and beverages;48.52.00;3;7.278;152.838;05/03/2019;18.17;Ewallet;145.56.00;4.761.904.762;7.278;04.00;5;3;2019
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;75.91;6;22.773;478.233;09/03/2019;18.21;Cash;455.46.00;4.761.904.762;22.773;08.07;9;3;2019
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;74.67;9;336.015;7.056.315;22/01/2019;10.55;Ewallet;672.03.00;4.761.904.762;336.015;09.04;22;1;2019
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41.65;10;20.825;437.325;13/01/2019;17.04;Credit card;416.05.00;4.761.904.762;20.825;05.04;13;1;2019
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;49.04.00;9;22.068;463.428;09/01/2019;14.20;Credit card;441.36.00;4.761.904.762;22.068;08.06;9;1;2019
381-20-0914;A;Yangon;Member;Female;Fashion accessories;20.01;9;90.045;1.890.945;12/01/2019;15.48;Credit card;180.09.00;4.761.904.762;90.045;05.07;12;1;2019
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;78.31.00;10;39.155;822.255;05/03/2019;16.24;Ewallet;783.01.00;4.761.904.762;39.155;06.06;5;3;2019
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;20.38;5;5.095;106.995;22/01/2019;18.56;Cash;101.09.00;4.761.904.762;5.095;06.00;22;1;2019
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;99.19.00;6;29.757;624.897;21/01/2019;14.42;Credit card;595.14.00;4.761.904.762;29.757;05.05;21;1;2019
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;96.68;3;14.502;304.542;26/01/2019;19.56;Ewallet;290.04.00;4.761.904.762;14.502;06.04;26;1;2019
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;19.25;8;07.07;161.07.00;23/01/2019;18.37;Ewallet;154.00.00;4.761.904.762;07.07;06.06;23;1;2019
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;80.36.00;4;16.072;337.512;23/02/2019;18.45;Credit card;321.44.00;4.761.904.762;16.072;08.03;23;2;2019
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;48.91;5;122.275;2.567.775;09/03/2019;10.17;Cash;244.55.00;4.761.904.762;122.275;06.06;9;3;2019
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;83.06.00;7;29.071;610.491;05/03/2019;14.31;Ewallet;581.42.00;4.761.904.762;29.071;04.00;5;3;2019
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;76.52.00;5;19.13;401.73;25/03/2019;10.23;Cash;382.06.00;4.761.904.762;19.13;09.09;25;3;2019
633-44-8566;A;Yangon;Member;Male;Food and beverages;49.38.00;7;17.283;362.943;27/03/2019;20.35;Credit card;345.66;4.761.904.762;17.283;07.03;27;3;2019
504-35-8843;A;Yangon;Normal;Male;Sports and travel;42.47.00;1;21.235;445.935;02/01/2019;16.57;Cash;42.47.00;4.761.904.762;21.235;05.07;2;1;2019
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;76.99;6;23.097;485.037;27/02/2019;17.55;Cash;461.94;4.761.904.762;23.097;06.01;27;2;2019
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;47.38.00;4;9.476;198.996;23/01/2019;10.25;Cash;189.52.00;4.761.904.762;9.476;07.01;23;1;2019
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;44.86;10;22.43;471.03.00;26/01/2019;19.54;Ewallet;448.06.00;4.761.904.762;22.43;08.02;26;1;2019
873-51-0671;A;Yangon;Member;Female;Sports and travel;0,943055556;7;7.693;161.553;10/01/2019;16.42;Ewallet;153.86;4.761.904.762;7.693;05.01;10;1;2019
152-08-9985;B;Mandalay;Member;Male;Health and beauty;64.36.00;9;28.962;608.202;12/03/2019;12.09;Credit card;579.24.00;4.761.904.762;28.962;08.06;12;3;2019
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;89.75;1;44.875;942.375;06/02/2019;20.05;Credit card;89.75;4.761.904.762;44.875;06.06;6;2;2019
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;97.16.00;1;4.858;102.018;08/03/2019;20.38;Ewallet;97.16.00;4.761.904.762;4.858;07.02;8;3;2019
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87.87;10;43.935;922.635;29/03/2019;10.25;Ewallet;878.07.00;4.761.904.762;43.935;05.01;29;3;2019
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;12.45;6;3.735;78.435;09/02/2019;13.11;Cash;74.07.00;4.761.904.762;3.735;04.01;9;2;2019
865-92-6136;A;Yangon;Normal;Male;Food and beverages;52.75;3;79.125;1.661.625;23/03/2019;10.16;Ewallet;158.25.00;4.761.904.762;79.125;09.03;23;3;2019
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;82.07.00;6;24.81;521.01.00;05/03/2019;18.14;Cash;496.02.00;4.761.904.762;24.81;07.04;5;3;2019
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;48.71;1;24.355;511.455;26/03/2019;19.20;Cash;48.71;4.761.904.762;24.355;04.01;26;3;2019
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78.55.00;9;353.475;7.422.975;01/03/2019;13.22;Cash;706.95;4.761.904.762;353.475;07.02;1;3;2019
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;23.07;9;103.815;2.180.115;01/02/2019;11.27;Cash;207.63;4.761.904.762;103.815;04.09;1;2;2019
212-62-1842;A;Yangon;Normal;Male;Food and beverages;58.26.00;6;17.478;367.038;28/03/2019;16.44;Cash;349.56.00;4.761.904.762;17.478;09.09;28;3;2019
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;30.35.00;7;106.225;2.230.725;19/03/2019;18.19;Cash;212.45.00;4.761.904.762;106.225;08.00;19;3;2019
704-48-3927;A;Yangon;Member;Male;Electronic accessories;88.67;10;44.335;931.035;12/01/2019;14.50;Ewallet;886.07.00;4.761.904.762;44.335;07.03;12;1;2019
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;27.38.00;6;8.214;172.494;05/01/2019;20.54;Credit card;164.28.00;4.761.904.762;8.214;07.09;5;1;2019
630-74-5166;A;Yangon;Normal;Male;Sports and travel;62.13.00;6;18.639;391.419;22/03/2019;20.19;Cash;372.78;4.761.904.762;18.639;07.04;22;3;2019
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;33.98;9;15.291;321.111;24/03/2019;10.43;Cash;305.82;4.761.904.762;15.291;04.02;24;3;2019
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;81.97;10;40.985;860.685;03/03/2019;14.30;Cash;819.07.00;4.761.904.762;40.985;09.02;3;3;2019
479-26-8945;B;Mandalay;Member;Female;Sports and travel;16.49;2;1.649;34.629;05/02/2019;11.32;Ewallet;32.98;4.761.904.762;1.649;04.06;5;2;2019
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;98.21.00;3;147.315;3.093.615;05/02/2019;10.41;Credit card;294.63;4.761.904.762;147.315;07.08;5;2;2019
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;72.84;7;25.494;535.374;15/02/2019;12.44;Cash;509.88;4.761.904.762;25.494;08.04;15;2;2019
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;58.07.00;9;261.315;5.487.615;19/01/2019;20.07;Ewallet;522.63;4.761.904.762;261.315;04.03;19;1;2019
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;80.79;9;363.555;7.634.655;01/02/2019;20.31;Credit card;727.11.00;4.761.904.762;363.555;09.05;1;2;2019
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;27.02.00;3;4.053;85.113;02/03/2019;13.01;Credit card;81.06.00;4.761.904.762;4.053;07.01;2;3;2019
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;0,940277778;5;5.485;115.185;05/03/2019;12.29;Ewallet;109.07.00;4.761.904.762;5.485;05.03;5;3;2019
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;51.36.00;1;2.568;53.928;16/01/2019;15.26;Ewallet;51.36.00;4.761.904.762;2.568;05.02;16;1;2019
642-32-2990;A;Yangon;Normal;Female;Food and beverages;0,483333333;10;05.48;115.08.00;02/02/2019;20.48;Ewallet;109.06.00;4.761.904.762;05.48;06.00;2;2;2019
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;53.44.00;2;5.344;112.224;20/01/2019;20.38;Ewallet;106.88;4.761.904.762;5.344;04.01;20;1;2019
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;99.56.00;8;39.824;836.304;14/02/2019;17.03;Credit card;796.48.00;4.761.904.762;39.824;05.02;14;2;2019
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;57.12.00;7;19.992;419.832;12/01/2019;12.02;Credit card;399.84;4.761.904.762;19.992;06.05;12;1;2019
219-22-9386;B;Mandalay;Member;Male;Sports and travel;99.96;9;44.982;944.622;09/03/2019;17.26;Credit card;899.64;4.761.904.762;44.982;04.02;9;3;2019
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;63.91;8;25.564;536.844;13/03/2019;19.52;Credit card;511.28.00;4.761.904.762;25.564;04.06;13;3;2019
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;56.47.00;8;22.588;474.348;09/03/2019;14.57;Ewallet;451.76;4.761.904.762;22.588;07.03;9;3;2019
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;93.69;7;327.915;6.886.215;10/03/2019;18.44;Credit card;655.83;4.761.904.762;327.915;04.05;10;3;2019
870-54-3162;A;Yangon;Normal;Female;Sports and travel;32.25.00;5;80.625;1.693.125;27/01/2019;13.26;Cash;161.25.00;4.761.904.762;80.625;09.00;27;1;2019
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;31.73;9;142.785;2.998.485;08/01/2019;16.17;Credit card;285.57.00;4.761.904.762;142.785;05.09;8;1;2019
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;68.54.00;8;27.416;575.736;08/01/2019;15.57;Ewallet;548.32.00;4.761.904.762;27.416;08.05;8;1;2019
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;90.28.00;9;40.626;853.146;08/02/2019;11.15;Ewallet;812.52.00;4.761.904.762;40.626;07.02;8;2;2019
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;39.62;7;13.867;291.207;25/01/2019;13.18;Cash;277.34.00;4.761.904.762;13.867;07.05;25;1;2019
802-70-5316;A;Yangon;Member;Female;Sports and travel;92.13.00;6;27.639;580.419;06/03/2019;20.34;Cash;552.78;4.761.904.762;27.639;08.03;6;3;2019
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;34.84;4;6.968;146.328;10/02/2019;18.36;Cash;139.36.00;4.761.904.762;6.968;07.04;10;2;2019
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;87.45.00;6;26.235;550.935;17/02/2019;14.40;Credit card;524.07.00;4.761.904.762;26.235;08.08;17;2;2019
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;81.03.00;6;24.39.00;512.19.00;08/03/2019;16.43;Ewallet;487.08.00;4.761.904.762;24.39.00;05.03;8;3;2019
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;90.22.00;3;13.533;284.193;18/02/2019;19.39;Cash;270.66;4.761.904.762;13.533;06.02;18;2;2019
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;26.31.00;5;65.775;1.381.275;18/01/2019;20.59;Credit card;131.55.00;4.761.904.762;65.775;08.08;18;1;2019
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;34.42.00;6;10.326;216.846;18/02/2019;15.39;Cash;206.52.00;4.761.904.762;10.326;09.08;18;2;2019
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;51.91;10;25.955;545.055;16/02/2019;12.21;Cash;519.01.00;4.761.904.762;25.955;08.02;16;2;2019
575-30-8091;A;Yangon;Normal;Male;Sports and travel;72.05.00;8;29.00.00;609.00.00;16/03/2019;19.25;Ewallet;580.00.00;4.761.904.762;29.00.00;09.02;16;3;2019
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;89.08.00;10;44.09.00;942.09.00;23/01/2019;13.00;Credit card;898.00.00;4.761.904.762;44.09.00;05.04;23;1;2019
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;90.05.00;10;45.25.00;950.25.00;25/01/2019;13.48;Cash;905.00.00;4.761.904.762;45.25.00;08.01;25;1;2019
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;68.06.00;10;34.03.00;720.03.00;05/02/2019;19.57;Cash;686.00.00;4.761.904.762;34.03.00;09.01;5;2;2019
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;30.41.00;1;15.205;319.305;22/02/2019;10.36;Credit card;30.41.00;4.761.904.762;15.205;08.04;22;2;2019
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle;77.95;6;23.385;491.085;21/01/2019;16.37;Ewallet;467.07.00;4.761.904.762;23.385;08.00;21;1;2019
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;46.26.00;6;13.878;291.438;08/03/2019;17.11;Credit card;277.56.00;4.761.904.762;13.878;09.05;8;3;2019
685-64-1609;A;Yangon;Member;Female;Fashion accessories;30.14.00;10;15.07;316.47.00;10/02/2019;12.28;Ewallet;301.04.00;4.761.904.762;15.07;09.02;10;2;2019
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;66.14.00;4;13.228;277.788;19/03/2019;12.46;Credit card;264.56.00;4.761.904.762;13.228;05.06;19;3;2019
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;71.86;8;28.744;603.624;06/03/2019;15.07;Credit card;574.88;4.761.904.762;28.744;06.02;6;3;2019
238-49-0436;A;Yangon;Normal;Male;Health and beauty;32.46.00;8;12.984;272.664;27/03/2019;13.48;Credit card;259.68;4.761.904.762;12.984;04.09;27;3;2019
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;91.54.00;4;18.308;384.468;23/03/2019;19.20;Credit card;366.16.00;4.761.904.762;18.308;04.08;23;3;2019
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;34.56.00;7;12.096;254.016;11/03/2019;16.07;Credit card;241.92;4.761.904.762;12.096;07.03;11;3;2019
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;83.24.00;9;37.458;786.618;29/01/2019;11.56;Credit card;749.16.00;4.761.904.762;37.458;07.04;29;1;2019
